province_id,comparisons,wins,pairwise_preference_score,name
1761,1,1,0.6666666666666666,Pfalz
395,1,1,0.6666666666666666,Qatar
1959,1,1,0.6666666666666666,Torzhok
2675,1,1,0.6666666666666666,Rokan
155,1,1,0.6666666666666666,Bekes
740,1,1,0.6666666666666666,Chanderi
2114,1,1,0.6666666666666666,Ereen
4831,1,1,0.6666666666666666,Bangkok
49,1,1,0.6666666666666666,Neumark
38,1,1,0.6666666666666666,Riga
405,1,1,0.6666666666666666,Tadmor
167,1,1,0.6666666666666666,Caux
4111,1,1,0.6666666666666666,Saintonge
478,1,1,0.6666666666666666,Argyn
1224,1,1,0.6666666666666666,Gonder
1835,1,1,0.6666666666666666,Mino
4744,1,1,0.6666666666666666,Zwickau
2447,1,1,0.6666666666666666,Mantrega
4748,1,1,0.6666666666666666,Brandenburg
1125,1,1,0.6666666666666666,Kong
4122,1,0,0.3333333333333333,Shenkursk
32,1,0,0.3333333333333333,Keksholm
802,1,0,0.3333333333333333,Chuquiabo
2151,1,0,0.3333333333333333,Poyang
2692,1,0,0.3333333333333333,Madura
249,1,0,0.3333333333333333,Ayrshire
4508,1,0,0.3333333333333333,Bahawalpur
138,1,0,0.3333333333333333,Zeta
2693,1,0,0.3333333333333333,Lombok
2662,1,0,0.3333333333333333,Olancho
4393,1,0,0.3333333333333333,Tabayin
4148,1,0,0.3333333333333333,Luki
4905,1,0,0.3333333333333333,Tapouaro
1160,1,0,0.3333333333333333,Mandara
4838,1,0,0.3333333333333333,SipEt
2587,1,0,0.3333333333333333,Odawa
2891,1,0,0.3333333333333333,SantaAnadasMinas
2041,1,0,0.3333333333333333,Manipur
4593,2,0,0.25,Xicaque
